repeat,frequency_mhz,s21_db
3,220.266000,-20.586314370839
3,220.346000,-20.566140660409
3,220.426000,-20.524555454427
3,220.506000,-20.500679256355
3,220.586000,-20.489851971485
3,220.666000,-20.476932187059
3,220.746000,-20.473578374580
3,220.826000,-20.469954008399
3,220.906000,-20.471200891344
3,220.986000,-20.520196859264
3,221.066000,-20.500066947252
3,221.146000,-20.513508081003
3,221.226000,-20.552943134724
3,221.306000,-20.574255969230
3,221.386000,-20.624741217082
3,221.466000,-20.666881724466
3,221.546000,-20.712220395083
3,221.626000,-20.770296567475
3,221.706000,-20.825516865721
3,221.786000,-20.888594396969
3,221.866000,-20.961268162350
3,221.946000,-21.045217523973
3,222.026000,-21.127505121151
3,222.106000,-21.209851721611
3,222.186000,-21.287795955272
3,222.266000,-21.383830411739
3,222.346000,-21.475902890395
3,222.426000,-21.575121942014
3,222.506000,-21.673884338029
3,222.586000,-21.786464371702
3,222.666000,-21.891677284483
3,222.746000,-22.005922700613
3,222.826000,-22.107259191303
3,222.906000,-22.229190852674
3,222.986000,-22.340996337179
3,223.066000,-22.468092182982
3,223.146000,-22.589682067891
3,223.226000,-22.711090722333
3,223.306000,-22.830573193951
3,223.386000,-22.948392681621
3,223.466000,-23.075010180596
3,223.546000,-23.189496634951
3,223.626000,-23.333862645792
3,223.706000,-23.456878578531
3,223.786000,-23.586844446425
3,223.866000,-23.698545856870
3,223.946000,-23.828044902711
3,224.026000,-23.971857239830
3,224.106000,-24.095781371629
3,224.186000,-24.212637818510
3,224.266000,-24.346800235012
3,224.346000,-24.476933275312
3,224.426000,-24.616562552355
3,224.506000,-24.732451834597
3,224.586000,-24.855856512161
3,224.666000,-24.981662236380
3,224.746000,-25.112297139439
3,224.826000,-25.241443951094
3,224.906000,-25.350880028241
3,224.986000,-25.486194436248
4,216.986000,-24.018171590462
4,217.066000,-23.924290046464
4,217.146000,-23.816876434055
4,217.226000,-23.738566101530
4,217.306000,-23.637280898965
4,217.386000,-23.556246409420
4,217.466000,-23.433122454115
4,217.546000,-23.356957975564
4,217.626000,-23.260108976270
4,217.706000,-23.163139347101
4,217.786000,-23.052692118062
4,217.866000,-22.957507286598
4,217.946000,-22.862443056132
4,218.026000,-22.765248024151
4,218.106000,-22.668505085898
4,218.186000,-22.572618628385
4,218.266000,-22.468745947970
4,218.346000,-22.374537231813
4,218.426000,-22.289682760021
4,218.506000,-22.187421553112
4,218.586000,-22.084834316413
4,218.666000,-22.006414692779
4,218.746000,-21.907094347907
4,218.826000,-21.823094382618
4,218.906000,-21.728396993168
4,218.986000,-21.646572647734
4,219.066000,-21.555964993908
4,219.146000,-21.480318812784
4,219.226000,-21.389477628902
4,219.306000,-21.313239680615
4,219.386000,-21.222387208607
4,219.466000,-21.151665363959
4,219.546000,-21.082224424728
4,219.626000,-21.027144550747
4,219.706000,-20.951832634822
4,219.786000,-20.888663837745
4,219.866000,-20.830625438344
4,219.946000,-20.767830541160
4,220.026000,-20.725915427883
4,220.106000,-20.680695983263
4,220.186000,-20.635709575420
4,220.266000,-20.603562801410
4,220.346000,-20.562235174947
4,220.426000,-20.541200419907
4,220.506000,-20.503495243781
4,220.586000,-20.489151477104
4,220.666000,-20.480551980329
4,220.746000,-20.478623664393
4,220.826000,-20.483042239316
4,220.906000,-20.478162822947
4,220.986000,-20.452234126995
4,221.066000,-20.500419400983
4,221.146000,-20.524770207818
4,221.226000,-20.539112249569
4,221.306000,-20.581792672677
4,221.386000,-20.623351308711
4,221.466000,-20.672943631755
4,221.546000,-20.714086736077
4,221.626000,-20.759965142356
4,221.706000,-20.825028049513
4,221.786000,-20.899128994916
4,221.866000,-20.967536386901
4,221.946000,-21.046914847666
4,222.026000,-21.122527674386
4,222.106000,-21.202091698407
4,222.186000,-21.293673527836
