frequency_hz,mean_power_per_hz,peak_power_per_hz,group_start_hz,group_end_hz
14418651.5808,2.15615334686e-09,8.31544167471e-09,14393943.7866,14443359.375
14468456.2683,2.20731452337e-09,1.08128376843e-08,14443748.4741,14493164.0625
14518260.9558,2.19717245659e-09,1.05955771653e-08,14493553.1616,14542968.75
14568065.6433,2.63299654281e-09,1.83455477794e-08,14543357.8491,14592773.4375
14617870.3308,2.76608255768e-09,1.4221346082e-08,14593162.5366,14642578.125
14667675.0183,2.74142126344e-09,1.64474449494e-08,14642967.2241,14692382.8125
14717479.7058,2.90597539582e-09,2.06463986214e-08,14692771.9116,14742187.5
14767284.3933,4.11247326706e-09,3.26635196669e-08,14742576.5991,14791992.1875
14817089.0808,2.62230786771e-09,1.32487180184e-08,14792381.2866,14841796.875
14866893.7683,2.86634930605e-09,1.49915442276e-08,14842185.9741,14891601.5625
14916698.4558,2.67175970422e-09,1.1430266918e-08,14891990.6616,14941406.25
14966503.1433,3.12445027439e-09,3.43145516112e-08,14941795.3491,14991210.9375
15016307.8308,3.71203669531e-09,3.6030642378e-08,14991600.0366,15041015.625
15066112.5183,2.92545311839e-09,3.05193814797e-08,15041404.7241,15090820.3125
15115917.2058,2.54712046612e-09,2.02051240644e-08,15091209.4116,15140625
15165721.8933,2.61083818422e-09,1.3141302589e-08,15141014.0991,15190429.6875
15215526.5808,3.02796456915e-09,1.43217753551e-08,15190818.7866,15240234.375
15265331.2683,2.04966696743e-09,1.38124041071e-08,15240623.4741,15290039.0625
15315135.9558,2.17248679033e-09,1.05156858748e-08,15290428.1616,15339843.75
15364940.6433,2.15721138649e-09,1.55228952896e-08,15340232.8491,15389648.4375
15414745.3308,2.05780741126e-09,1.07522148999e-08,15390037.5366,15439453.125
15464550.0183,2.00879354349e-09,1.55291217472e-08,15439842.2241,15489257.8125
15514354.7058,2.29298860561e-09,1.26904406777e-08,15489646.9116,15539062.5
15564159.3933,2.66574753244e-09,1.50705941673e-08,15539451.5991,15588867.1875
15613964.0808,2.06830834448e-09,1.27321932172e-08,15589256.2866,15638671.875
15663768.7683,2.01079323487e-09,9.41916862219e-09,15639060.9741,15688476.5625
15713573.4558,2.40892283398e-09,1.08819919304e-08,15688865.6616,15738281.25
15763378.1433,2.14057174054e-09,1.40968414869e-08,15738670.3491,15788085.9375
15813182.8308,1.95294299585e-09,1.02181866843e-08,15788475.0366,15837890.625
15862987.5183,2.44124648175e-09,1.3301601671e-08,15838279.7241,15887695.3125
15912792.2058,2.44431056913e-09,1.15868177464e-08,15888084.4116,15937500
15962596.8933,2.20463405952e-09,1.65723490384e-08,15937889.0991,15987304.6875
16012401.5808,2.21711568649e-09,9.39481509088e-09,15987693.7866,16037109.375
16062206.2683,1.92582128955e-09,7.02255471868e-09,16037498.4741,16086914.0625
16112010.9558,1.85108177201e-09,1.14376983726e-08,16087303.1616,16136718.75
16161815.6433,2.03060315826e-09,7.86726906662e-09,16137107.8491,16186523.4375
16211620.3308,1.45100032515e-09,6.04658440062e-09,16186912.5366,16236328.125
16261425.0183,1.64941082869e-09,9.79454107775e-09,16236717.2241,16286132.8125
16311229.7058,1.7388853959e-09,1.18174066059e-08,16286521.9116,16335937.5
16361034.3933,1.5806844892e-09,8.16829557043e-09,16336326.5991,16385742.1875
16410839.0808,1.69354674599e-09,6.59823269829e-09,16386131.2866,16435546.875
16460643.7683,1.58662526699e-09,8.4547660424e-09,16435935.9741,16485351.5625
16510448.4558,2.05903516099e-09,1.37474268903e-08,16485740.6616,16535156.25
16560253.1433,2.20241159552e-09,2.35799802457e-08,16535545.3491,16584960.9375
16610057.8308,1.65266749749e-09,6.48331013277e-09,16585350.0366,16634765.625
16659862.5183,1.62766413976e-09,1.06534025549e-08,16635154.7241,16684570.3125
16709667.2058,2.00098012411e-09,8.07134056151e-09,16684959.4116,16734375
16759471.8933,1.6759952201e-09,7.15521881618e-09,16734764.0991,16784179.6875
16809276.5808,1.5896508829e-09,1.05412309456e-08,16784568.7866,16833984.375
16859081.2683,1.85515326908e-09,1.20793449371e-08,16834373.4741,16883789.0625
16908885.9558,1.75567232487e-09,8.23445080114e-09,16884178.1616,16933593.75
16958690.6433,1.6875831497e-09,1.01032730644e-08,16933982.8491,16983398.4375
17008495.3308,1.78374572058e-09,8.02751045913e-09,16983787.5366,17033203.125
17058300.0183,2.01807421152e-09,1.90012236092e-08,17033592.2241,17083007.8125
