physical,role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,signed_on_minus_off_linear_per_hz,positive_on_minus_off_dbfs_per_hz,in_mandatory_222p5_223p0_baseline
139,baseline_center,222927441.406250,-99.0725960788,-110.195901158,1.14246686062e-10,-99.421563886,1
139,baseline_center,222927539.062500,-99.3808256666,-110.383601548,1.06168788834e-10,-99.7400313701,1
139,baseline_center,222927636.718750,-99.2153961297,-110.245516277,1.10350624081e-10,-99.5722520637,1
139,baseline_center,222927734.375000,-98.7671358942,-110.113474195,1.23084914342e-10,-99.0979517225,1
139,baseline_center,222927832.031250,-98.8517266851,-109.94443652,1.20136114757e-10,-99.2032641739,1
139,baseline_center,222927929.687500,-99.2757317503,-110.015226363,1.08183121202e-10,-99.6584049284,1
139,baseline_center,222928027.343750,-98.885067113,-110.307540995,1.19952320188e-10,-99.2099134724,1
139,baseline_center,222928125.000000,-98.5282816164,-110.323155013,1.31053969241e-10,-98.8254982101,1
139,baseline_center,222928222.656250,-99.1724281369,-109.966428749,1.10914547629e-10,-99.5501148775,1
139,baseline_center,222928320.312500,-99.4086188989,-109.989108865,1.0456261919e-10,-99.8062354664,1
139,baseline_center,222928417.968750,-99.1345028164,-110.329442004,1.12783864901e-10,-99.47753027,1
139,baseline_center,222928515.625000,-99.0012648793,-110.143764647,1.16181491653e-10,-99.3486305192,1
139,baseline_center,222928613.281250,-99.0188020326,-110.271142426,1.15953927725e-10,-99.3571453585,1
139,baseline_center,222928710.937500,-98.8730819564,-110.227217506,1.20135642827e-10,-99.2032812343,1
139,baseline_center,222928808.593750,-98.5601720523,-110.429496088,1.30251784213e-10,-98.8521631894,1
139,baseline_center,222928906.250000,-98.9633166088,-110.722809022,1.18493620651e-10,-99.2630503017,1
139,baseline_center,222929003.906250,-99.4739688673,-110.486516929,1.03936168402e-10,-99.8323329745,1
139,baseline_center,222929101.562500,-100.389591241,-109.961719335,8.13313941104e-11,-100.897417833,1
139,baseline_center,222929199.218750,-99.6397219727,-109.770056593,9.81057861133e-11,-100.083053779,1
139,baseline_center,222929296.875000,-98.7206036091,-110.29755985,1.24920046727e-10,-99.0336786199,1
139,baseline_center,222929394.531250,-98.1831139042,-110.414256958,1.42855550226e-10,-98.4510288174,1
139,baseline_center,222929492.187500,-98.8144545041,-110.532061579,1.2254069593e-10,-99.1171965756,1
139,baseline_center,222929589.843750,-98.9505715249,-110.470194633,1.18359664335e-10,-99.2679627516,1
139,baseline_center,222929687.500000,-98.6545999326,-110.340998775,1.27069001732e-10,-98.9596038193,1
139,baseline_center,222929785.156250,-99.022060935,-110.238750864,1.15789570449e-10,-99.3633055719,1
139,baseline_center,222929882.812500,-99.0145228697,-110.199021055,1.15920179071e-10,-99.3584095665,1
