capture_role,frequency_hz,tx_on_dbfs_per_hz,same_capture_rf_off_dbfs_per_hz,positive_tx_on_minus_off_dbfs_per_hz
physical37_mandatory_baseline_222p5_223p0,222926489.257812500,-83.3912088467,-104.246724843,-83.4270203089
physical37_mandatory_baseline_222p5_223p0,222926562.500000000,-83.8232657693,-104.124260943,-83.8639774271
physical37_mandatory_baseline_222p5_223p0,222926635.742187500,-83.7905350742,-104.323929626,-83.8291159848
physical37_mandatory_baseline_222p5_223p0,222926708.984375000,-83.6384917778,-104.251095464,-83.6763723557
physical37_mandatory_baseline_222p5_223p0,222926782.226562500,-83.5616698857,-103.764019498,-83.6033213485
physical37_mandatory_baseline_222p5_223p0,222926855.468750000,-83.8206655217,-103.915454007,-83.8633665926
physical37_mandatory_baseline_222p5_223p0,222926928.710937500,-84.2328553844,-104.080859361,-84.2780662159
physical37_mandatory_baseline_222p5_223p0,222927001.953125000,-84.0804373228,-104.187847802,-84.1230138614
physical37_mandatory_baseline_222p5_223p0,222927075.195312500,-84.1137302903,-104.06192155,-84.1579048307
physical37_mandatory_baseline_222p5_223p0,222927148.437500000,-83.9928819283,-103.977602615,-84.0366845934
physical37_mandatory_baseline_222p5_223p0,222927221.679687500,-83.7019582864,-103.950350408,-83.7431684156
physical37_mandatory_baseline_222p5_223p0,222927294.921875000,-84.0258395218,-104.128010286,-84.0684677127
physical37_mandatory_baseline_222p5_223p0,222927368.164062500,-83.9778740661,-104.147243863,-84.0198445684
physical37_mandatory_baseline_222p5_223p0,222927441.406250000,-83.4786015477,-104.188935099,-83.5156356092
physical37_mandatory_baseline_222p5_223p0,222927514.648437500,-84.9119086337,-104.356434715,-84.9615462848
physical37_mandatory_baseline_222p5_223p0,222927587.890625000,-84.7388641174,-104.261941328,-84.7876070277
physical37_mandatory_baseline_222p5_223p0,222927661.132812500,-83.9693057882,-104.023751445,-84.0124073534
physical37_mandatory_baseline_222p5_223p0,222927734.375000000,-83.449384165,-104.346774765,-83.484850586
physical37_mandatory_baseline_222p5_223p0,222927807.617187500,-83.5487185553,-104.359869861,-83.5848992549
physical37_mandatory_baseline_222p5_223p0,222927880.859375000,-83.6622399381,-104.165157905,-83.7010937611
physical37_mandatory_baseline_222p5_223p0,222927954.101562500,-83.7502213255,-104.307208257,-83.7885922934
physical37_mandatory_baseline_222p5_223p0,222928027.343750000,-83.8372803279,-104.252583366,-83.8769295765
